Cases,Category,Country,Number of Records,Quality,Year
243000,Irish Whiskey,United States,1,Standard,1/1/90 12:00:00 AM
214000,Irish Whiskey,United States,1,Standard,1/1/91 12:00:00 AM
219500,Irish Whiskey,United States,1,Standard,1/1/92 12:00:00 AM
225000,Irish Whiskey,United States,1,Standard,1/1/93 12:00:00 AM
239500,Irish Whiskey,United States,1,Standard,1/1/94 12:00:00 AM
249000,Irish Whiskey,United States,1,Standard,1/1/95 12:00:00 AM
259000,Irish Whiskey,United States,1,Standard,1/1/96 12:00:00 AM
279500,Irish Whiskey,United States,1,Standard,1/1/97 12:00:00 AM
296750,Irish Whiskey,United States,1,Standard,1/1/98 12:00:00 AM
322000,Irish Whiskey,United States,1,Standard,1/1/99 12:00:00 AM
343750,Irish Whiskey,United States,1,Standard,1/1/00 12:00:00 AM
371250,Irish Whiskey,United States,1,Standard,1/1/01 12:00:00 AM
398750,Irish Whiskey,United States,1,Standard,1/1/02 12:00:00 AM
443500,Irish Whiskey,United States,1,Standard,1/1/03 12:00:00 AM
500250,Irish Whiskey,United States,1,Standard,1/1/04 12:00:00 AM
572500,Irish Whiskey,United States,1,Standard,1/1/05 12:00:00 AM
682250,Irish Whiskey,United States,1,Standard,1/1/06 12:00:00 AM
803000,Irish Whiskey,United States,1,Standard,1/1/07 12:00:00 AM
975500,Irish Whiskey,United States,1,Standard,1/1/08 12:00:00 AM
1099250,Irish Whiskey,United States,1,Standard,1/1/09 12:00:00 AM
1337600,Irish Whiskey,United States,1,Standard,1/1/10 12:00:00 AM
1652250,Irish Whiskey,United States,1,Standard,1/1/11 12:00:00 AM
1989750,Irish Whiskey,United States,1,Standard,1/1/12 12:00:00 AM
2365000,Irish Whiskey,United States,1,Standard,1/1/13 12:00:00 AM
2463750,Irish Whiskey,United States,1,Standard,1/1/14 12:00:00 AM
2893250,Irish Whiskey,United States,1,Standard,1/1/15 12:00:00 AM
3337500,Irish Whiskey,United States,1,Standard,1/1/16 12:00:00 AM
537500,Irish Whiskey,Ireland,1,Standard,1/1/90 12:00:00 AM
546000,Irish Whiskey,Ireland,1,Standard,1/1/91 12:00:00 AM
513000,Irish Whiskey,Ireland,1,Standard,1/1/92 12:00:00 AM
524500,Irish Whiskey,Ireland,1,Standard,1/1/93 12:00:00 AM
