"Fertility rates by age and time"

" ","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Total fertility rate",1917.0,1896.8,1918.8,1747.2,1659.8,1668.5,1601.6,1546.4,1437.1,1427.3,1377.4,1400.1,1447.2,1481.9,1497.7,1561.8,1621.2,1669.6,1684.4,1764.8,1751.2,1809.1,1809.7,1753.5,1756.2,1725.2,1738.3,1774.2,1745.0,1724.9,1759.9,1785.2,1802.1,1847.6,1843.5,1888.8,1839.6,1871.2,1752.4,1729.2,1668.7,1691.2,1713.6,1785.4,1751.9,1729.7,1699.4,1674.7,1724.1,1552.9
"15 years",1.0,0.9,0.7,0.5,0.6,0.6,0.3,0.5,0.3,0.3,0.1,0.3,0.1,0.2,0.3,0.5,0.2,0.1,0.1,0.3,0.1,0.3,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0
"16 years",4.5,3.4,4.2,3.2,2.3,2.5,2.1,1.9,1.4,1.3,1.0,1.1,0.8,0.9,1.4,0.9,1.0,1.1,1.0,1.1,0.9,1.0,1.0,0.8,0.9,1.4,0.9,0.8,0.8,0.8,0.7,0.5,1.1,0.8,0.7,0.7,1.0,0.5,0.5,0.5,0.4,0.4,0.6,0.4,0.2,0.2,0.1,0.0,0.1,0.1
"17 years",13.5,11.8,12.0,10.0,9.2,8.0,7.8,6.5,4.8,4.8,3.6,3.2,3.4,3.7,3.3,3.5,3.8,3.9,3.5,4.0,3.6,3.6,3.0,3.3,3.2,2.8,3.2,3.1,2.8,1.9,2.3,2.3,2.2,2.1,2.0,2.8,2.1,2.1,1.9,1.6,1.5,1.6,0.9,0.7,0.7,0.5,0.6,0.3,0.5,0.4
"18 years",27.0,26.3,28.6,23.6,22.1,20.7,17.1,17.9,13.4,11.9,9.9,9.3,7.6,9.1,9.0,9.4,8.9,9.3,9.3,9.2,9.3,8.5,7.2,6.6,7.5,7.8,6.6,7.4,6.3,6.2,5.0,5.3,5.6,5.9,5.3,5.8,4.5,4.6,4.1,4.2,3.3,2.9,2.5,3.1,2.3,2.1,1.6,1.3,1.2,0.7
"19 years",50.5,52.0,53.0,46.7,45.7,40.6,37.4,33.1,29.8,24.2,22.2,20.4,18.7,18.8,19.4,18.0,19.0,17.8,17.8,19.1,17.4,18.2,18.0,16.7,17.5,15.3,16.3,16.5,16.5,13.0,13.0,12.8,11.7,12.8,12.9,12.4,11.8,10.5,9.4,8.8,9.1,6.9,7.3,8.3,5.9,5.2,4.2,3.9,2.7,2.4
"20 years",76.1,78.2,83.3,74.1,71.1,65.2,59.5,56.6,49.6,45.2,38.4,36.3,34.1,31.1,30.3,30.9,32.0,32.9,28.7,31.2,29.0,29.4,29.2,30.7,27.4,26.0,25.3,26.3,25.5,24.0,22.8,19.1,19.8,20.2,19.8,22.0,19.8,19.0,15.6,15.4,14.4,12.4,12.3,12.2,11.4,9.9,9.0,6.6,5.6,6.0
"21 years",104.6,107.6,110.6,95.9,93.2,87.7,83.2,78.8,69.0,65.3,57.9,54.1,51.8,48.5,45.6,44.9,43.2,46.0,43.5,41.1,41.0,39.8,39.4,39.0,36.1,36.8,35.1,33.3,35.6,30.7,29.5,26.3,27.4,26.3,27.7,30.8,27.7,26.7,23.9,20.5,19.4,19.9,18.4,19.4,18.1,16.4,13.6,10.9,11.5,10.3
"22 years",127.4,127.9,133.2,117.4,113.0,109.2,103.0,95.3,86.9,80.5,76.3,74.2,69.0,68.8,62.1,60.7,63.3,60.7,59.8,59.2,52.7,54.2,52.3,49.2,48.3,47.1,44.7,42.9,43.0,40.2,40.4,37.0,37.1,35.9,35.7,37.5,35.3,36.9,29.7,32.0,27.2,27.1,27.4,28.3,26.7,23.2,20.6,18.8,17.5,15.0
"23 years",143.4,146.9,151.0,131.7,123.1,123.9,116.8,112.4,101.3,97.9,88.2,83.1,84.5,85.4,79.0,80.7,80.6,77.1,75.5,74.8,70.1,66.1,65.2,65.1,60.0,57.0,57.3,56.7,54.1,51.1,49.4,47.6,45.1,46.3,44.1,48.3,45.3,44.7,41.7,39.4,36.5,36.1,36.5,36.7,36.9,33.0,31.0,26.7,23.5,22.5
